name,prediction,ground_truth,correct
Abuse028_x264.npy,0.9996068477630615,1.0,1
Abuse028_x264__1.npy,0.9984960556030273,1.0,1
Abuse028_x264__2.npy,0.9999119639396667,1.0,1
Abuse028_x264__3.npy,0.9999801516532898,1.0,1
Abuse028_x264__4.npy,0.9999935626983643,1.0,1
Abuse028_x264__5.npy,0.9698547124862671,1.0,1
Abuse028_x264__6.npy,0.9988782405853271,1.0,1
Abuse028_x264__7.npy,0.9780396819114685,1.0,1
Abuse028_x264__8.npy,0.9993232488632202,1.0,1
Abuse028_x264__9.npy,0.9999524354934692,1.0,1
Abuse030_x264.npy,0.9468429088592529,1.0,1
Abuse030_x264__1.npy,0.9991163015365601,1.0,1
Abuse030_x264__2.npy,0.9990050792694092,1.0,1
Abuse030_x264__3.npy,0.9365878105163574,1.0,1
Abuse030_x264__4.npy,0.9863699078559875,1.0,1
Abuse030_x264__5.npy,0.8868003487586975,1.0,1
Abuse030_x264__6.npy,0.9992741346359253,1.0,1
Abuse030_x264__7.npy,0.9990053772926331,1.0,1
Abuse030_x264__8.npy,0.9931353330612183,1.0,1
Abuse030_x264__9.npy,0.9968026280403137,1.0,1
Arrest001_x264.npy,0.9996142387390137,1.0,1
Arrest001_x264__1.npy,0.9738287329673767,1.0,1
Arrest001_x264__2.npy,0.9989604949951172,1.0,1
Arrest001_x264__3.npy,0.8025773167610168,1.0,1
Arrest001_x264__4.npy,0.9986104369163513,1.0,1
Arrest001_x264__5.npy,0.995038628578186,1.0,1
Arrest001_x264__6.npy,0.9862600564956665,1.0,1
Arrest001_x264__7.npy,0.9580038189888,1.0,1
Arrest001_x264__8.npy,0.9657835960388184,1.0,1
Arrest001_x264__9.npy,0.9703328013420105,1.0,1
Arrest007_x264.npy,0.8237242698669434,1.0,1
Arrest007_x264__1.npy,0.618140459060669,1.0,1
Arrest007_x264__2.npy,0.9993070960044861,1.0,1
Arrest007_x264__3.npy,0.4378297030925751,1.0,0
Arrest007_x264__4.npy,0.9987143278121948,1.0,1
Arrest007_x264__5.npy,0.9530934691429138,1.0,1
Arrest007_x264__6.npy,0.9989907741546631,1.0,1
Arrest007_x264__7.npy,0.42348140478134155,1.0,0
Arrest007_x264__8.npy,0.9994181394577026,1.0,1
Arrest007_x264__9.npy,0.33632081747055054,1.0,0
Arrest024_x264.npy,0.9986295104026794,1.0,1
Arrest024_x264__1.npy,0.9985741972923279,1.0,1
Arrest024_x264__2.npy,0.9993430972099304,1.0,1
Arrest024_x264__3.npy,0.999872624874115,1.0,1
Arrest024_x264__4.npy,0.9998942613601685,1.0,1
Arrest024_x264__5.npy,0.9983165860176086,1.0,1
Arrest024_x264__6.npy,0.9989348649978638,1.0,1
Arrest024_x264__7.npy,0.9895672798156738,1.0,1
Arrest024_x264__8.npy,0.9996278285980225,1.0,1
Arrest024_x264__9.npy,0.9978725910186768,1.0,1
Arrest030_x264.npy,0.999999463558197,1.0,1
Arrest030_x264__1.npy,0.9999998211860657,1.0,1
Arrest030_x264__2.npy,0.9999570250511169,1.0,1
Arrest030_x264__3.npy,0.9999992847442627,1.0,1
Arrest030_x264__4.npy,0.9999986886978149,1.0,1
Arrest030_x264__5.npy,1.0,1.0,1
Arrest030_x264__6.npy,0.9999992847442627,1.0,1
Arrest030_x264__7.npy,0.9999992847442627,1.0,1
Arrest030_x264__8.npy,0.9999991655349731,1.0,1
Arrest030_x264__9.npy,0.9999991655349731,1.0,1
Arrest039_x264.npy,0.8127046227455139,1.0,1
Arrest039_x264__1.npy,0.5406912565231323,1.0,1
Arrest039_x264__2.npy,0.13205452263355255,1.0,0
Arrest039_x264__3.npy,0.7521457672119141,1.0,1
Arrest039_x264__4.npy,0.30624479055404663,1.0,0
Arrest039_x264__5.npy,0.7090156674385071,1.0,1
Arrest039_x264__6.npy,0.2561187744140625,1.0,0
Arrest039_x264__7.npy,0.951387345790863,1.0,1
Arrest039_x264__8.npy,0.10741864889860153,1.0,0
Arrest039_x264__9.npy,0.8254758715629578,1.0,1
Arson007_x264.npy,0.8517404794692993,1.0,1
Arson007_x264__1.npy,0.9999834299087524,1.0,1
Arson007_x264__2.npy,0.6265373229980469,1.0,1
Arson007_x264__3.npy,0.9992714524269104,1.0,1
Arson007_x264__4.npy,0.09232696890830994,1.0,0
Arson007_x264__5.npy,0.8367047905921936,1.0,1
Arson007_x264__6.npy,0.4075159430503845,1.0,0
Arson007_x264__7.npy,0.9970341324806213,1.0,1
Arson007_x264__8.npy,0.15916600823402405,1.0,0
Arson007_x264__9.npy,0.9339380860328674,1.0,1
Arson009_x264.npy,1.0,1.0,1
Arson009_x264__1.npy,1.0,1.0,1
Arson009_x264__2.npy,0.9999995231628418,1.0,1
Arson009_x264__3.npy,1.0,1.0,1
Arson009_x264__4.npy,0.9999995231628418,1.0,1
Arson009_x264__5.npy,0.9999999403953552,1.0,1
Arson009_x264__6.npy,1.0,1.0,1
Arson009_x264__7.npy,0.9999992847442627,1.0,1
Arson009_x264__8.npy,1.0,1.0,1
Arson009_x264__9.npy,1.0,1.0,1
Arson010_x264.npy,0.9996196031570435,1.0,1
Arson010_x264__1.npy,0.9996246099472046,1.0,1
Arson010_x264__2.npy,0.9999781847000122,1.0,1
Arson010_x264__3.npy,0.9996317028999329,1.0,1
Arson010_x264__4.npy,0.9999862313270569,1.0,1
Arson010_x264__5.npy,0.9979431629180908,1.0,1
Arson010_x264__6.npy,0.9999988675117493,1.0,1
Arson010_x264__7.npy,0.9998580813407898,1.0,1
Arson010_x264__8.npy,0.9999957084655762,1.0,1
Arson010_x264__9.npy,0.9999944567680359,1.0,1
Arson011_x264.npy,0.9975644946098328,1.0,1
Arson011_x264__1.npy,0.9999826550483704,1.0,1
Arson011_x264__2.npy,0.9431419372558594,1.0,1
Arson011_x264__3.npy,0.998752236366272,1.0,1
Arson011_x264__4.npy,0.9801425933837891,1.0,1
Arson011_x264__5.npy,0.9977127313613892,1.0,1
Arson011_x264__6.npy,0.9217280745506287,1.0,1
Arson011_x264__7.npy,0.9999871253967285,1.0,1
Arson011_x264__8.npy,0.8941092491149902,1.0,1
Arson011_x264__9.npy,0.9999755024909973,1.0,1
Arson016_x264.npy,0.9998096823692322,1.0,1
Arson016_x264__1.npy,0.999996542930603,1.0,1
Arson016_x264__2.npy,0.9999958276748657,1.0,1
Arson016_x264__3.npy,0.9998648166656494,1.0,1
Arson016_x264__4.npy,0.999972403049469,1.0,1
Arson016_x264__5.npy,0.9995578527450562,1.0,1
Arson016_x264__6.npy,0.9999964833259583,1.0,1
Arson016_x264__7.npy,0.9999725818634033,1.0,1
Arson016_x264__8.npy,0.9998048543930054,1.0,1
Arson016_x264__9.npy,0.9999526143074036,1.0,1
Arson018_x264.npy,1.0,1.0,1
Arson018_x264__1.npy,1.0,1.0,1
Arson018_x264__2.npy,1.0,1.0,1
Arson018_x264__3.npy,1.0,1.0,1
Arson018_x264__4.npy,1.0,1.0,1
Arson018_x264__5.npy,1.0,1.0,1
Arson018_x264__6.npy,1.0,1.0,1
Arson018_x264__7.npy,1.0,1.0,1
Arson018_x264__8.npy,1.0,1.0,1
Arson018_x264__9.npy,1.0,1.0,1
Arson022_x264.npy,0.9999921321868896,1.0,1
Arson022_x264__1.npy,0.9999992847442627,1.0,1
Arson022_x264__2.npy,0.8299320340156555,1.0,1
Arson022_x264__3.npy,0.9999877214431763,1.0,1
Arson022_x264__4.npy,0.585084080696106,1.0,1
Arson022_x264__5.npy,0.9986774921417236,1.0,1
Arson022_x264__6.npy,0.24156296253204346,1.0,0
Arson022_x264__7.npy,0.9999992847442627,1.0,1
Arson022_x264__8.npy,0.32879573106765747,1.0,0
